"1,000 Venture Capital Firms",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,VC Firm,Website,Countries,Cities,Industries,Stages,Founded Year,Name of Founders,# of Investments,# of Exits,Min Check Size,Max Check Size,Funds Raised,Contact Information
,.406 Ventures,https://www.406ventures.com/,USA,Boston,"Cybersecurity, Cloud, Health & Wellness",Series A,2005,"Liam Donohue, Maria Cirino",60,32,"$2,000,000","$5,000,000","$1,000,000,000",contact@406ventures.com
,3one4 Capital,https://www.3one4capital.com/,India,Bangalore,"Enterprise, SaaS, Consumer, Fintech, AI & ML","Early Stage, Seed, Series A",2016,"Pranav Pai, Siddarth Pai",171,15,,,"$1,340,000,000",
,3TS Capital Partners,https://3tscapital.com,Finland,Helsinki,"Hardware, Internet & Mobile, E-Commerce, Consumer, Healthcare, SaaS","Early Stage, Late Stage",1998,Pekka Mäki,52,17,"€300,000","€10,000,000","€447,400,000",info@3tscapital.com
,4Di,https://www.4dicapital.com/,South Africa,Cape Town,"InsurTech, Fintech, Healthcare","Seed, Early Stage",2009,Justin Stanford,38,12,,,"$27,000,000",info@4dicapital.com
,4Founders Capital,https://4founderscapital.com,Spain,Barcelona,"Fintech, SaaS, Travel & Hospitality, Crypto & Blockchain, Gaming, Education, Climate & Sustainability, Entertainment, Marketplace","Pre-Seed, Seed, Series A",2017,Javier Perez-Tenessa,65,9,"€100,000","€4,000,000","€62,000,000",info@4founderscapital.com
,5AM Ventures,https://5amventures.com,USA,"Boston, San Francisco","Life Sciences, Healthcare, Biotech",Early Stage,2002,John Diekman,212,75,,,"$2,200,000,000",+1 (415)-993-8570
,7 Percent Ventures,http://7pc.co/,"United Kingdom, USA","London, San Francisco","AI & ML, AR & VR, Robotics, Crypto & Blockchain, Aerospace & Space, SaaS, Marketplace, Fintech, Manufacturing, Healthcare, Deep Tech & Hard Science","Seed, Series A, Pre-Seed, Early Stage",2014,Andrew J Scott,119,23,,"$500,000","$44,300,000",
,8VC,https://www.8vc.com/,USA,"Austin, San Francisco","Healthcare, Biotech, Consumer, Enterprise, Supply Chain & Logistics, Government Technology, Life Sciences, Manufacturing, Fintech","Seed, Early Stage, Late Stage",2012,Drew Oetting,424,42,,,"$425,000,000",
,9.5 Ventures,https://www.ninepointfive.vc/,Belgium,Antwerp,"SaaS, Food & Beverage, Entertainment, DTC","Early Stage, Seed, Series A",2019,"Paul Emmerick, Pieter Van De Velde",6,,"€500,000","€7,500,000","€34,000,000",hello@ninepointfive.vc
,11 Tribes Ventures,https://11tribes.vc,USA,Chicago,"SaaS, Cloud, Productivity, AI & ML, Cybersecurity, Sports",Seed,2020,Mark Phillips,17,,,,,
,11 Ventures,https://www.11.vc/,Bulgaria,Sofia,"Fintech, Healthcare, Future of Work, Food & Beverage, E-Commerce",Early Stage,2012,"Daniel Tomov, Dilyan Dimitrov, Ivaylo Simov, Jon Bradford",150,4,"€250,000","€1,000,000","€300,000,000",eleven@11.me
,14W,http://www.14w.com/,USA,New York,"Media, E-Commerce, Consumer, Health & Wellness, Marketplace, Internet & Mobile",Seed,2010,Alex Zubillaga,77,16,,,"$30,000,000",info@14w.com
,70V,https://www.70v.com/,Lithuania,Vilnius,"SaaS, Marketplace, Enterprise","Seed, Pre-Seed",2018,"Per Møller, Gytenis Galkis, Jean-Baptiste Daguene",54,2,,,,hello@70v.com
,100X VC,https://www.100x.vc/,India,Mumbai,"Agriculture, Enterprise, Consumer, Climate & Sustainability, Creator Economy, Deep Tech & Hard Science, E-Commerce, Education, Fintech, Food & Beverage, Gaming, Hardware, Healthcare, Human Resources, Supply Chain & Logistics, Marketplace, Marketing, SaaS, Social, Crypto & Blockchain","Pre-Seed, Seed",2019,"Sanjay Mehta, Yagnesh Sanghrajka",80,2,"₹12,500,000",,"₹5,000,000,000",pitch@100x.vc
,137 Ventures,https://137ventures.com/,USA,San Francisco,"Consumer, Marketplace, SaaS, Enterprise","Seed, Early Stage, Late Stage, Series A",2011,Justin Fishner-Wolfson,63,32,"$10,000,000","$20,000,000","$350,000,000",info@137ventures.com
,138 Pyramids,https://138pyramids.com/,Egypt,Giza,"Food & Beverage, DTC, SaaS",Early Stage,2015,Seif Eldin Awni,9,2,,,,info@138pyramids.com
,212,https://212.vc/,"Luxembourg, Qatar, Turkey, USA","Doha, Luxembourg, Arnavutköy, San Francisco","SaaS, Marketplace, IoT, Climate & Sustainability, DTC","Seed, Late Stage",2011,"Numan Numan, Ali Karabey",41,11,,,"€80,000,000",
,360 Capital Partners,https://www.360cap.vc/,"France, Italy","Paris, Milan","AI & ML, Robotics, Deep Tech & Hard Science, SaaS, Enterprise, Marketplace, Consumer","Early Stage, Pre-Seed, Seed, Series A, Series B",1997,Fausto Boni,79,33,"€150,000","€2,000,000","€400,000,000",info@360cap.vc
,500 Startups,https://500.co/,"USA, India, United Kingdom, Brazil, France, Hong Kong, Singapore, United Arab Emirates, Azerbaijan, Egypt, Bahrain, Saudi Arabia, Thailand, China, Malaysia, Cambodia, South Korea, Taiwan","San Francisco, Austin, Las Vegas, Mexico City, Miami, New York, São Paulo, Washington, Abu Dhabi, Baku, Cairo, Dubai, Manama, Riyadh, Bangalore, Bangkok, Hangzhou, Ho Chi Minh City, Jaipur, Kuala Lumpur, Nagoya, Phnom Penh, Seoul, Shanghai, Taipei, Tokyo","SaaS, Media, E-Commerce, Consumer, Healthcare, Proptech & Real Estate, Hardware & Industrials, Education, Devops, Fintech, Crypto & Blockchain","Early Stage, Seed",2010,"Christine Tsai, Dave Mcclure",2600,339,"$50,000","$250,000","$67,000,000,000",info@500startups.com
,1517 Fund,https://www.1517fund.com/,USA,Oakland,"Hardware, Deep Tech & Hard Science, SaaS","Pre-Seed, Seed",2015,"Danielle Strachman, Michael Gibson",105,21,,"$1,000","$160,000,000",info@1517fund.com
,1818 Ventures,https://www.1818venturecapital.com/,,Channel Islands,"Fintech, Marketing, Human Resources","Early Stage, Pre-Seed, Seed, Series A",2012,Richard Avery-Wright,39,6,"£25,000",,,
,1955 Capital,http://1955.capital/,USA,Santa Clara,"Climate & Sustainability, Food & Beverage, Hardware & Industrials, Hardware, Industrial, Manufacturing, Energy","Seed, Early Stage, Late Stage",2015,Andrew Chung,6,,,,"$200,000,000",info@1955.capital
,A capital,https://acapital.com/,USA,San Francisco,"Crypto & Blockchain, SaaS, Marketplace, Media","Seed, Early Stage, Late Stage",2014,Ronny Conway,119,20,,,"$140,000,000",
,A15,https://www.a15.com/,Egypt,Cairo,"Productivity, Fintech, Consumer, Internet & Mobile","Early Stage, Seed",2014,"Karim Beshara, Khaled Bichara",32,7,,,,info@a15.com
,ABÉNEX,https://www.abenex.com/en/,France,"Paris, Lyon","Supply Chain & Logistics, Consumer, Industrial, Healthcare","Growth, Buyout",1992,Olivier Moatti,109,64,"€5,000,000","€100,000,000","€15,000,000,000",+33 (0)153936900
,Acadian Ventures,https://acadianventures.com,"USA, Canada, Mexico, Israel, France, Germany, United Kingdom, Belgium, Ireland, Malaysia","Los Angeles, Toronto, Boise, San Jose, San Francisco, Salt Lake City, Mexico City, Tel Aviv-Yafo, Paris, Marseille, Berlin, London, Dublin, Kuala Lumpur, New York, Gent","SaaS, Productivity, Health & Wellness, Future of Work, Human Resources",Early Stage,2019,Jason Corsello,12,1,"€250,000","€500,000",,hello@acadianventures.com
,Accel,https://www.accel.com/,"USA, United Kingdom, India","London, Bangalore, San Francisco, Palo Alto","Cloud, Cybersecurity, Consumer, Media, Fintech","Seed, Early Stage, Late Stage",1983,"Arthur Patterson, Jim Swartz, Prashanth Prakash",1845,353,"$500,000","$500,000,000","$18,300,000,000",info@accel.com
,Acrobator Ventures,https://acrobator.vc,"Netherlands, Ukraine, Georgia","Amsterdam, Kyiv, Tbilisi","SaaS, E-Commerce, Marketplace, AI & ML, Enterprise","Pre-Seed, Seed",2019,Bas Godska,34,2,"€200,000","€1,500,000",,hi@acrobator.vc
,Act Venture Capital,http://actventure.capital/,Ireland,Dublin,"AI & ML, Cloud, IoT, Deep Tech & Hard Science, E-Commerce, Climate & Sustainability, Fintech, Media, Gaming, Supply Chain & Logistics, Internet & Mobile, Healthcare",Early Stage,1994,John Flynn,94,79,,,"€627,000,000",info@actvc.ie
,Active Capital,https://www.activecapital.com/,USA,Texas City,"Cloud, Infrastructure, Enterprise, SaaS","Seed, Pre-Seed",2017,"Pat Matthews, Cat Dizon",78,16,$100,"$1,000,000",,pat@activecapital.com
,Active Venture Partners,https://www.active-vp.com/,Spain,Barcelona,"Advertising, Social, Internet & Mobile, SaaS, Cybersecurity, Healthcare, E-Commerce, Big Data & Analytics","Early Stage, Seed, Series A",2002,Christopher Pommerening,46,23,,,"$74,000,000",
,Acton Capital Partners,https://actoncapital.com/,"Germany, Canada","Munich, Vancouver","Marketplace, E-Commerce, Media, DTC, SaaS","Seed, Early Stage",1999,"Christoph Braun, Paul-Bernhard Kallen, Jan-Gisbert Schultze, Frank Seehaus",114,51,,,"€700,000,000",info@actoncapital.de
,Adara Ventures,https://adara.vc,"Spain, Luxembourg","Madrid, Luxembourg","Cybersecurity, Deep Tech & Hard Science, Cloud, SaaS, Developer Tools, Devops","Early Stage, Seed",2005,"Alberto Gomez, Jesus Sainz, Nicolas Goulet",60,11,,,,info@adara.vc
,Advanced Technology Ventures,https://www.atvcapital.com/,USA,"Boston, San Francisco","Healthcare, Internet & Mobile, Industrial, Climate & Sustainability","Early Stage, Late Stage, Seed, Debt",1979,"Dr. Thaddeus F. Walkowicz, Dr. Ivan Sutherland, George Kokkinakis, Dr. Robert Loewy",291,142,"$10,000,000","$50,000,000","$1,800,000,000",investoreelations@atvcapital.com
,Aera VC,https://aera.vc,"New Zealand, Australia, Thailand, Hong Kong, USA","Auckland, Sydney, Bangkok, Hong Kong, New York, Los Angeles","Climate & Sustainability, Deep Tech & Hard Science, Aerospace & Space, Food & Beverage",Early Stage,2017,"Derek Handley, Keenan Kwok, Nick Winstone",21,1,,,"$30,000,000",hello@aera.vc
,Aeterna Capital Partners,https://aeternacp.com,USA,New York,"Healthcare, Proptech & Real Estate, Fintech, Consumer",Other,2013,"Drew Bagin, Patrick Mccloskey",10,,"$2,000,000","$10,000,000",,info@aeternacp.com
,Afore,https://www.afore.vc/,USA,San Francisco,"Fintech, Consumer, SaaS, Automative, Marketplace, Construction, AR & VR, Enterprise, Crypto & Blockchain, Developer Tools, Gaming, Healthcare, E-Commerce",Pre-Seed,2016,"Gaurav Jain, Anamitra Banerji",84,8,"$500,000","$1,500,000","$300,000,000",
,Afvest Invest,https://www.afvest.co/,Kenya,Nairobi,"Proptech & Real Estate, Fintech, Education, E-Commerce, Social, Productivity, Internet & Mobile, Energy",Early Stage,2012,David Ngaine,7,,,,"$2,100,000",info@afvest.co
,AgFunder,https://agfunder.com/,USA,"Silicon Valley, San Francisco","Climate & Sustainability, Food & Beverage, Agriculture, Biotech","Seed, Series A, Series B",2013,Rob Leclerc,86,5,"$50,000","$900,000","$91,300,000",services@agfunder.com
,Agroecology Capital,https://agroecologycapital.com,USA,San Francisco,"Biotech, Agriculture","Seed, Series A, Series B",2019,"Djalil Reghis, Nicolas Denjoy",1,,"$50,000","$2,000,000",,contact@agroecologycapital.com
,Ai fund,https://aifund.ai/,"USA, Colombia","Palo Alto, Medellín","Consumer, Healthcare, AI & ML, Enterprise",Series A,2017,Dr. Andrew Ng,32,,,,"$175,000,000",contact@aifund.ai
,AID Partners,http://www.aidpartners.com/,"USA, Hong Kong, China, Japan, South Korea, United Kingdom, Taiwan, France, Belgium, Israel","Los Angeles, Hilo, Beijing, Shanghai, Shenzhen, Singapore, Tokyo, Seoul, London, Paris, Brussels, Tel Aviv-Yafo, San Francisco","Biotech, Healthcare, Gaming, Entertainment, DTC, Food & Beverage","Late Stage, Growth",2007,"Kelvin Wu, Joel Chang",20,2,,,"$650,000,000",info@8088inc.com
,AirTree Ventures,https://www.airtree.vc,Australia,Sydney,"SaaS, Marketplace, Industrial, Health & Wellness, Hardware, Enterprise, Education, E-Commerce, Consumer, Infrastructure, Energy, Crypto & Blockchain","Pre-Seed, Seed, Series A, Series B, Growth",2014,"Craig Blair, Daniel Petre",111,9,"$200,000","$10,000,000","$1,100,000,000",info@airtree.vc
,Alate Partners,https://alatepartners.com,Canada,Toronto,Proptech & Real Estate,"Seed, Series A",2018,John Albright,20,4,"$1,000,000","$5,000,000","$40,000,000",hello@alatepartners.com
,Alaya Capital,https://alaya-capital.com,"USA, Chile, Argentina","Las Condes, Córdoba, Sausalito","Fintech, Enterprise, Healthcare, InsurTech, Proptech & Real Estate, Supply Chain & Logistics, Marketplace, Climate & Sustainability, Marketing","Early Stage, Seed",2010,"Carlos S. Baradello, Juan Manuel Giner Gonzalez, Luis Bermejo, Mario Barra, Omar Vega, Oscar Guardianelli",32,4,,,"$101,600,000",carolina.costa@alaya-capital.com
,AlbionVC,https://albion.vc,United Kingdom,London,"Enterprise, SaaS, Healthcare, AI & ML, Climate & Sustainability, Deep Tech & Hard Science","Early Stage, Growth",1996,Emil Gigov,139,36,,,"£58,500,000",
,Album VC,https://album.vc,USA,Lehi,"Big Data & Analytics, Productivity, Gaming, SaaS, Education, Sports","Early Stage, Seed",2014,"Diogo Myrrha, John Mayfield, Sid Krommenhoek",102,13,,,"$392,100,000",
,Alchemy Ventures,https://alchemyventures.com.au,Australia,Sydney,"SaaS, Fintech, Consumer, Agriculture","Seed, Early Stage, Late Stage",2016,Darren Patterson,3,1,"$100,000","$5,000,000",,contact@alchemyventures.com.au
