Name,Type,AUM,Typical Check Size,HQ / Location,Industry,Sectors,Stages,Portfolio Count,Founded,Employees,Website,LinkedIn,Twitter,Emails,Phones,Addresses,Description,Status,Source,Enrichment Status,Record ID
Simon Group Holdings,Family Office,$2B+ (estimated),$5M-$50M,"Birmingham, MI, United States of America","oil, gas, logistics, 3pl, manufacturing, distribution, technology, aerospace, telecommunications, modular construction, leasing",Energy; Logistics & Transportation; Real Estate; Technology Services; Aerospace & Defense; Manufacturing; Sports Entertainment; Telecommunications; Modular Construction,Growth; Bridge,120,1985,51-200,https://www.simongroupholdings.com,https://www.linkedin.com/company/simon-group-holdings,https://twitter.com/SimonGroupHolds,chudson@simongroupholdings.com,(800) 878-2000,,"Simon Group Holdings (SGH) is a diversified family office founded by Sam Simon in 1985, originating from the establishment of Atlas Oil Company. SGH operates as a holding company with investments across energy, logistics, real estate, technology, aerospace, defense, and sports entertainment, focusing on partnering with operationally experienced entrepreneurs to drive industry reinvention. The firm emphasizes long-term relationships, providing strategic support, managerial expertise, and capital to its portfolio of over 120 companies.",,folk,enriched,dcd14f34-ed94-443b-a2fd-2f7c607ef06d
Federico,Family Office,$200M,$500K-$3M,"London, United Kingdom",Family Office / Venture Capital,Technology; Fintech; Consumer; SaaS; Marketplaces,Pre-seed; Seed; Series A,100,2013,1-10,https://www.playfaircapital.com,https://www.linkedin.com/company/playfair-capital,https://twitter.com/playfaircapital,info@playfaircapital.com,linkedin.com/company/playfair-capital,"3rd Floor, 86-90 Paul St, London EC2A 4NE, United Kingdom","Federico is the single-family office of Tzakhi Freedman and the Pirzio-Biroli family, managing the wealth of the family behind Playfair Capital. The office focuses on early-stage venture capital investments, particularly in European startups, with a strong emphasis on technology, fintech, and innovative consumer businesses.",,folk,enriched,b78d657e-bd59-4ac5-89f6-82ebf3c97a06
GROVE STREET ADVISORS LLC,Family Office,$7B,$20M-$100M,"Newton, MA","Private Equity, Venture Capital, Fund of Funds",Technology; Healthcare; Financial Services; Industrials; Consumer,Growth; Series A; Series B; Series C; Series D,100,1998,11-50,https://www.grovestreet.com,https://www.linkedin.com/company/grove-street-advisors,,fga@grovestreetadvisors.com,1 781 263 6100,,"Grove Street Advisors LLC is a specialized fund-of-funds manager focused on building customized private equity portfolios for large institutional investors. Founded in 1998, the firm manages over $7 billion in assets across 40+ separate accounts, primarily investing in lower middle-market buyout, growth equity, and venture capital funds. Grove Street is known for its disciplined approach to diversification and its willingness to back first-time fund managers.",,folk,enriched,11d6d510-9339-4bbc-a3a4-b96d25272daa
Corecam Family Office,Family Office,$1.5B,$10M-$50M,"Zurich, Switzerland","Private Equity, Venture Capital, Private Debt, Real Estate, Infrastructure, Natural Resources, Hedge Funds",Real Estate; Infrastructure; Private Equity; Private Debt; Natural Resources; Alternative Assets,Growth; Bridge,65,2009,11-50,https://www.corecam.com,https://www.linkedin.com/company/corecam-family-office/,,mh@corecam.com,+41 44 533 55 55,"Bahnhofstrasse 52, 8001 Zurich, Switzerland","Corecam Family Office is a multi-family office headquartered in Zurich, Switzerland, with additional offices in Singapore, Frankfurt, and Vienna. Founded in 2009, the firm specializes in wealth management, capital preservation, and direct investments across global markets, with a strong focus on real estate, alternative assets, and private equity. Corecam employs a team of specialists to execute tailored investment strategies for high-net-worth families and institutional investors, achieving an average equity return of 23.4% from its investments.",,folk,enriched,b2a4ba25-9ca3-470e-a7a4-a9736cde7b7f
Alain,Family Office,$200M,$250K-$2M,"London, United Kingdom",Family Office,Fintech; Technology; Digital Assets; SaaS; Blockchain,Pre-seed; Seed; Series A,50,2013,1-10,https://www.firestartr.co,https://www.linkedin.com/company/firestartr,https://twitter.com/firestartr,hello@firestartr.co,linkedin.com/company/firestartr,"London, United Kingdom","Alain is a single-family office based in London, UK, representing the wealth of Tzakhi Freedman. The office focuses on early-stage investments in European startups, particularly in technology, fintech, and digital assets, with a hands-on approach to supporting portfolio companies.",,folk,enriched,2b863494-11be-4a53-91d1-f1c77d13b063
Belfer Management LLC,Family Office,$3B+,$10M-$100M,"New York, United States of America","energy, real estate, financial services, diversified portfolio, construction",Energy; Real Estate; Financial Services; Private Equity; Infrastructure; Technology,Growth; Series C; Series D; Bridge,50,2000,11-50,https://www.belfermanagement.com,https://www.linkedin.com/company/belfer-management-llc,,cdamore@belfermgmt.com,(212) 508-9500,,"Belfer Management LLC is a prominent single-family office based in New York City, managing the wealth and investments of the Belfer family. Founded by Robert Belfer and now led by CEO Laurence Belfer, the firm oversees a diversified portfolio spanning energy, real estate, financial services, and private equity, with a flexible, long-term investment approach across public and private markets.",,folk,enriched,d5c5f09a-73c1-4ea7-b8ac-2f93e7f5967f
Belhasa International CO LLC.,Family Office,$2B+ (estimated),$5M-$50M,"Dubai, United Arab Emirates","automotive, education, trading, hospitality, construction, technology, insurance, investment, travel and tourism, real estate",Automotive; Real Estate; Hospitality; Construction; Technology; Education; Insurance; Travel & Tourism,Growth; Bridge,50,1968,501-1000,https://www.belhasa.com,https://www.linkedin.com/company/belhasa-international-co-llc/,https://twitter.com/BelhasaGroup,it@belhasa.com,971 4 2662319,,"Belhasa International CO LLC. is a diversified family-owned conglomerate founded by the Belhasa family, with deep roots in the UAE and GCC region. The group operates across multiple sectors, including automotive, real estate, hospitality, construction, and technology, with a focus on long-term value creation and strategic partnerships. Headquartered in Dubai, it is known for its entrepreneurial approach and significant contributions to the region's economic development.",,folk,enriched,d1da8483-8678-4a00-911b-a368bfaf0514
CAZ Investments,Family Office,$1B+,$5M-$50M,"Houston, Texas, United States","Multi-Family Office, Investment Management",Energy; Healthcare; Biotechnology; Technology; Real Estate; Private Equity; Hedge Funds,Growth; Series C; Series D; Bridge,50,2001,11-50,https://www.cazinvestments.com,https://www.linkedin.com/company/caz-investments-lp,,cdedlund@cazinvestments.com,(713) 403-8250; 18322150846,,"CAZ Investments is a multi-family office based in Houston, Texas, founded with the backing of prominent Texas families. The firm specializes in providing bespoke investment opportunities across diverse sectors, including energy, healthcare, technology, and real estate, while co-investing its own capital alongside clients. Known for its performance-aligned compensation model, CAZ emphasizes independent thinking and long-term value creation for its global network of investors.",,folk,enriched,ae9c8664-6d8b-461e-bd83-ec22f89b48da
Fiona,Family Office,$5B+,$10M-$50M,"Geneva, Switzerland",Wealth Management,Private Equity; Venture Capital; Real Assets; Technology; Healthcare; Financial Services,Growth; Series C; Series D,50,1990,11-50,https://www.unigestion.com,https://www.linkedin.com/company/unigestion,https://twitter.com/Unigestion,info@unigestion.com,linkedin.com/company/unigestion,"Rue du Rhône 66, 1204 Geneva, Switzerland","Fiona is a single-family office based in Geneva, Switzerland, managing the wealth of the Frick family. The office focuses on long-term investments across private equity, venture capital, and real assets, with a strong emphasis on European markets and sustainable growth opportunities.",,folk,enriched,676e6ce6-4b9f-4092-a6c5-fafd2a975134
Frédéric,Family Office,$2B+,$10M-$100M,"Brussels, Belgium",Family Office,Consumer Goods; Technology; Healthcare; Fintech; Food & Beverage,Growth; Series C; Series D; Bridge,50,1995,11-50,https://www.verlinvest.com,https://www.linkedin.com/company/verlinvest/,https://twitter.com/verlinvest,info@verlinvest.com,linkedin.com/company/verlinvest,"Avenue Louise 287, 1050 Brussels, Belgium","Frédéric is the single-family office of the de Mevius family, founders of the global brewery giant Anheuser-Busch InBev. The office focuses on long-term investments across private equity, venture capital, and real assets, with a strong emphasis on consumer brands, technology, and healthcare sectors.",,folk,enriched,0a3853ac-de39-4af0-8afe-9f8b6c2d5702
