Name,Entity Type,Role/Authority,Managed AUM,Check Min (USD),Check Max (USD),Check Size,LinkedIn
Abel Moore,Private Capital,Principal,Undisclosed,,,,https://www.linkedin.com/in/abel-moore-5a2017332
Adam Yohanan,Private Capital,Principal,Undisclosed,50000,2000000,$50K – $2M,https://www.linkedin.com/in/adamyo
Adeep Chooramun,Corporate Venture/Treasury,Head of Strategic Investing,Undisclosed,5000,50000,$5K – $50K,https://www.linkedin.com/in/adeep-chooramun
Adithya Pappala,Private Fund of Funds,Managing Partner / GP,Undisclosed,100000,250000,$100K – $250K,https://www.linkedin.com/in/adithya-vc
Agata Załubska-Chudy,PFR Ventures,Managing Partner / GP,$1B+,5400000,32400000,$5.4M – $32.4M,https://www.linkedin.com/in/agata-za%C5%82ubska-chudy
Ajay K Dugar,Single Family Office,Lead Allocator / Principal,$50M-$200M,500000,2500000,$500K – $2.5M,https://www.linkedin.com/in/adugar
Alan Kadish,Private Capital,Principal,Undisclosed,10000,100000,$10K – $100K,https://www.linkedin.com/in/drkadish
Albin George,Single Family Office,Lead Allocator / Principal,$50M-$200M,5000000,30000000,$5M – $30M,https://www.linkedin.com/in/albingeorgesv
Alex Brown,Private Capital,Principal,Undisclosed,25000,250000,$25K – $250K,https://www.linkedin.com/in/abtcv
Alfred Shang,Private Capital,Principal,Undisclosed,100000,500000,$100K – $500K,https://www.linkedin.com/in/alfred-shang-69b77771
Ali Kohla,Corporate Venture/Treasury,Head of Strategic Investing,Undisclosed,,,,https://www.linkedin.com/in/ali-yehia-kohla
Amol Omprakash Agrawal,Corporate Venture/Treasury,Head of Strategic Investing,Undisclosed,10000,100000,$10K – $100K,https://www.linkedin.com/in/amoloagrawal
Andriamihamina Marc Ramilison,Single Family Office,Lead Allocator / Principal,$50M-$200M,500000,12000000,$500K – $12M,https://www.linkedin.com/in/marc-ramilison-0805061a
Anric Blatt,Single Family Office,Lead Allocator / Principal,$50M-$200M,10000000,100000000,$10M – $100M,https://www.linkedin.com/in/anricblatt
Anthony Herman,Corporate Venture/Treasury,Head of Strategic Investing,$50M-$200M,1000000,,$1M+,https://www.linkedin.com/in/anthonyherman
Antonio Negreiros Fernandes,Private Capital,Principal,Undisclosed,5000,20000,$5K – $20K,https://www.linkedin.com/in/antonionegreirosfernandes
Aravind Ujjwal,Institutional Investor,Director / Investment Officer,Undisclosed,50000,250000,$50K – $250K,https://www.linkedin.com/in/aravind-ujjwal
Artem Druzhinin,Single Family Office,Lead Allocator / Principal,Undisclosed,,,,https://www.linkedin.com/in/artemdruzhinin
Arun Sah,Corporate Venture/Treasury,Head of Strategic Investing,Undisclosed,,,,https://www.linkedin.com/in/dr-arun-sah-9b378018
Atul Tetambe,Impact Capital (ICAM),Managing Partner / GP,$1B+,5000000,10000000,$5M – $10M,https://www.linkedin.com/in/atul-tetambe-9760872
Audrey Selian,Rianta / Artha,Lead Allocator / Principal,$1B+,,,,https://www.linkedin.com/in/audrey-selian
Barbara Quasius,Single Family Office,Lead Allocator / Principal,Undisclosed,50000,6000000,$50K – $6M,https://www.linkedin.com/in/barbara-quasius-157564
Barry Chien,Alphatron Capital,Lead Allocator / Principal,$200M-$1B,1000000,1000000,$1M,https://www.linkedin.com/in/barrychien
Beajan Mehrpour,Private Fund of Funds,Managing Partner / GP,Undisclosed,50000,1000000,$50K – $1M,https://www.linkedin.com/company/indhrsfund
Bettina Briz,Private Capital,Principal,$50M-$200M,50000,250000,$50K – $250K,https://www.linkedin.com/in/bettinabriz
Birane Salane Mamadou,Institutional Investor,Director / Investment Officer,Undisclosed,500000,500000,$500K,https://www.linkedin.com/in/biranemamadousalane
Bob Unnold,Single Family Office,Lead Allocator / Principal,Undisclosed,100000,1000000,$100K – $1M,https://www.linkedin.com/in/bob-unnold
