name,type,location,source
"Legacy Knight","Family Office","Dallas, Texas, United States","8fundraising-lp-drop-04"
"East Rock Capital, LLC","Family Office","New York, New York, United States","8fundraising-lp-drop-04"
"CapStone Holdings, Inc.","Family Office","Carlsbad, California, United States","8fundraising-lp-drop-04"
"Adi Family Office","Family Office","Frisco, Texas, United States","8fundraising-lp-drop-04"
"Wildcat Capital Management","Family Office","New York, New York, United States","8fundraising-lp-drop-04"
"Pathstone Family Office","Family Office","Boston, Massachusetts, United States","8fundraising-lp-drop-04"
"Heritage Growth Partners","Family Office","Atlanta, Georgia, United States","8fundraising-lp-drop-04"
"ABP Capital","Family Office","San Diego, California, United States","8fundraising-lp-drop-04"
"Rockefeller Capital Management","Family Office","New York, New York, United States","8fundraising-lp-drop-04"
"Google","Family Office","San Diego, California, United States","8fundraising-lp-drop-04"
"Audrey's Kitchen","Family Office","Pittsburgh, Pennsylvania, United States","8fundraising-lp-drop-04"
"DFO Management, LLC","Family Office","New York, New York, United States","8fundraising-lp-drop-04"
"KG Investments","Family Office","Scottsdale, Arizona, United States","8fundraising-lp-drop-04"
"Augmentiv","Family Office","Denver, United States","8fundraising-lp-drop-04"
"Pathstone","Family Office","Boulder, Colorado, United States","8fundraising-lp-drop-04"
"Gala Capital Partners","Family Office","Costa Mesa, California, United States","8fundraising-lp-drop-04"
"r2decide","Family Office","United States","8fundraising-lp-drop-04"
"Octavia Investments","Family Office","Las Vegas, Nevada, United States","8fundraising-lp-drop-04"
"Single Family Office","Family Office","Santa Monica, California, United States","8fundraising-lp-drop-04"
"Tarsadia Investments","Family Office","Newport Beach, California, United States","8fundraising-lp-drop-04"
"Steele Nash | Rough Rider Capital","Family Office","Denver, Colorado, United States","8fundraising-lp-drop-04"
"Women's Care Florida","Family Office","Tampa, Florida, United States","8fundraising-lp-drop-04"
"Cambridge Information Group","Family Office","New York, New York, United States","8fundraising-lp-drop-04"
"CFT Capital Partners","Family Office","Los Angeles, California, United States","8fundraising-lp-drop-04"
"Forrestal Capital","Family Office","Miami, Florida, United States","8fundraising-lp-drop-04"
"Willett Advisors LLC","Family Office","New York, New York, United States","8fundraising-lp-drop-04"
"KEB Enterprises, LLC","Family Office","South Jordan, Utah, United States","8fundraising-lp-drop-04"
"FM Global","Family Office","Houston, Texas, United States","8fundraising-lp-drop-04"
"Stonecourt Capital","Family Office","United States","8fundraising-lp-drop-04"
"Casoro Group","Family Office","Houston, Texas, United States","8fundraising-lp-drop-04"
"Vigeo Investments","Family Office","Denver, Colorado, United States","8fundraising-lp-drop-04"
"Euclidean Capital","Family Office","Princeton, New Jersey, United States","8fundraising-lp-drop-04"
"Castellan Group","Family Office","Louisville, Kentucky, United States","8fundraising-lp-drop-04"
"Oxford Financial Group, Ltd.","Family Office","Palm Beach, Florida, United States","8fundraising-lp-drop-04"
"Cresset Capital","Family Office","Huntley, Illinois, United States","8fundraising-lp-drop-04"
"Alternative Investment Management","Family Office","Miami Beach, Florida, United States","8fundraising-lp-drop-04"
"Garrison Capital","Family Office","New York, New York, United States","8fundraising-lp-drop-04"
"ICONIQ Capital","Family Office","New York, New York, United States","8fundraising-lp-drop-04"
"Blackfin Capital","Family Office","Jupiter, Florida, United States","8fundraising-lp-drop-04"
"Clearwell Group","Family Office","Carmel, Indiana, United States","8fundraising-lp-drop-04"
"Bollinger Investment Group","Family Office","Grapevine, Texas, United States","8fundraising-lp-drop-04"
"Hurt Family Investments","Family Office","Austin, Texas, United States","8fundraising-lp-drop-04"
"Cornerstone Capital Holdings, Inc","Family Office","Murfreesboro, Tennessee, United States","8fundraising-lp-drop-04"
"Off the Chain Capital","Family Office","Orlando, Florida, United States","8fundraising-lp-drop-04"
"SaaS Ventures","Family Office","Washington, District of Columbia, United States","8fundraising-lp-drop-04"
"Connected Ventures (CV)","Family Office","Arlington, Virginia, United States","8fundraising-lp-drop-04"
"Mitchell Family Office","Family Office","St. Petersburg, Florida, United States","8fundraising-lp-drop-04"
"Highview Capital","Family Office","Los Angeles, California, United States","8fundraising-lp-drop-04"
"Digital Solution Group, LLC","Family Office","Herkimer, New York, United States","8fundraising-lp-drop-04"
"Barshop Ventures","Family Office","United States","8fundraising-lp-drop-04"
"Endurance Search Partners","Family Office","North Palm Beach, Florida, United States","8fundraising-lp-drop-04"
"Propst Companies","Family Office","Birmingham, Alabama, United States","8fundraising-lp-drop-04"
"Pivotal Group, Inc.","Family Office","Phoenix, Arizona, United States","8fundraising-lp-drop-04"
"The Stephens Group","Family Office","Dallas, Texas, United States","8fundraising-lp-drop-04"
"W5 Group","Family Office","United States","8fundraising-lp-drop-04"
"RICHMONT CAPITAL PARTNERS V LP","Family Office","Dallas, Texas, United States","8fundraising-lp-drop-04"
"Patoka Capital","Family Office","New Albany, Indiana, United States","8fundraising-lp-drop-04"
"Lacebark Investments","Family Office","Dallas, Texas, United States","8fundraising-lp-drop-04"
"Berwind","Family Office","Lansdale, Pennsylvania, United States","8fundraising-lp-drop-04"
"Owner Pewag Laclede Security Chains","Family Office","Sarasota, Florida, United States","8fundraising-lp-drop-04"
"Johnson Investment Counsel","Family Office","Cincinnati, Ohio, United States","8fundraising-lp-drop-04"
"Leon Capital Group","Family Office","Prosper, Texas, United States","8fundraising-lp-drop-04"
"Aliya Capital Partners","Family Office","United States","8fundraising-lp-drop-04"
"Bayshore Capital","Family Office","Tampa, Florida, United States","8fundraising-lp-drop-04"
"Transportation Insurance Experts (TIE)","Family Office","Palm Beach, Florida, United States","8fundraising-lp-drop-04"
"Davis Asset Management","Family Office","San Francisco, California, United States","8fundraising-lp-drop-04"
"Walden Creek Investments","Family Office","United States","8fundraising-lp-drop-04"
"FM","Family Office","Dudley, Massachusetts, United States","8fundraising-lp-drop-04"
"McCoy Ventures","Family Office","Houston, Texas, United States","8fundraising-lp-drop-04"
"Lundbeck","Family Office","Bothell, Washington, United States","8fundraising-lp-drop-04"
"CAZ Investments","Family Office","Houston, Texas, United States","8fundraising-lp-drop-04"
"The Omnia Group, LLC","Family Office","Chesterfield, Missouri, United States","8fundraising-lp-drop-04"
"Huizenga Capital Management","Family Office","Oak Brook, Illinois, United States","8fundraising-lp-drop-04"
"Patterson Thoma Family Office","Family Office","Dallas, United States","8fundraising-lp-drop-04"
"Hachi Capital","Family Office","United States","8fundraising-lp-drop-04"
"Fifth Avenue Family Office","Family Office","Naples, Florida, United States","8fundraising-lp-drop-04"
"Tailwind Advisors","Family Office","Fort Worth, Texas, United States","8fundraising-lp-drop-04"
"Everest Group, LLC","Family Office","Omaha, Nebraska, United States","8fundraising-lp-drop-04"
"CFO Services, LLC","Family Office","Prospect, Kentucky, United States","8fundraising-lp-drop-04"
"Third Lake Capital","Family Office","Tampa, Florida, United States","8fundraising-lp-drop-04"
"JPMorgan Chase & Co.","Family Office","Fort Worth, Texas, United States","8fundraising-lp-drop-04"
"Dempsey Ventures","Family Office","United States","8fundraising-lp-drop-04"
"Sefaria","Family Office","Brooklyn, New York, United States","8fundraising-lp-drop-04"
"Leslie Rudd Investment Company","Family Office","Wichita, Kansas, United States","8fundraising-lp-drop-04"
"Colt Ventures","Family Office","Dallas, Texas, United States","8fundraising-lp-drop-04"
"Halstatt","Family Office","Naples, Florida, United States","8fundraising-lp-drop-04"
"Lead Lap Enterprises, LLC","Family Office","Glencoe, Illinois, United States","8fundraising-lp-drop-04"
"Stoutbridge Capital","Family Office","Houston, Texas, United States","8fundraising-lp-drop-04"
"Marcus Investments","Family Office","Milwaukee, Wisconsin, United States","8fundraising-lp-drop-04"
"ICONIQ","Family Office","New York, New York, United States","8fundraising-lp-drop-04"
"Black Business Credit & Capital","Family Office","United States","8fundraising-lp-drop-04"
"SRS Family Office Partners","Family Office","Orem, Utah, United States","8fundraising-lp-drop-04"
"Motivate Venture Capital","Family Office","Chicago, United States","8fundraising-lp-drop-04"
"Self Employed","Family Office","Portland, Oregon, United States","8fundraising-lp-drop-04"
"Param Hansa Values","Family Office","Los Gatos, California, United States","8fundraising-lp-drop-04"
"LivWell Ventures","Family Office","Austin, Texas, United States","8fundraising-lp-drop-04"
"Clearwell Group, LLC","Family Office","Tampa, Florida, United States","8fundraising-lp-drop-04"
"Colton Capital Partners","Family Office","Austin, Texas, United States","8fundraising-lp-drop-04"
"HarloKyn Advisors","Family Office","Dallas, Texas, United States","8fundraising-lp-drop-04"
"Skynex Global Inc.","Family Office","United States","8fundraising-lp-drop-04"
"Tradewind Capital Group","Family Office","Hawaii, United States","8fundraising-lp-drop-04"
"Belfer Management LLC","Family Office","New York, New York, United States","8fundraising-lp-drop-04"
"Berggruen Holdings","Family Office","San Francisco, California, United States","8fundraising-lp-drop-04"
"pivotal group","Family Office","Phoenix, Arizona, United States","8fundraising-lp-drop-04"
"Coatue Management","Family Office","New York, New York, United States","8fundraising-lp-drop-04"
"Artesian Partners","Family Office","Minneapolis, Minnesota, United States","8fundraising-lp-drop-04"
"Sonorcap","Family Office","Seattle, Washington, United States","8fundraising-lp-drop-04"
"Acadian Capital Group","Family Office","Baton Rouge, Louisiana, United States","8fundraising-lp-drop-04"
"EUCLIDEAN CAPITAL, LLC","Family Office","New York, New York, United States","8fundraising-lp-drop-04"
"1/1 Capital","Family Office","Miami Beach, Florida, United States","8fundraising-lp-drop-04"
"R2G Sports","Family Office","Ambler, Pennsylvania, United States","8fundraising-lp-drop-04"
"Gray's Creek Capital Partners (Institutional Family Office)","Family Office","Dallas, Texas, United States","8fundraising-lp-drop-04"
"Huntington National Bank","Family Office","Fort Collins, Colorado, United States","8fundraising-lp-drop-04"
"Haas Portman","Family Office","Atlanta, Georgia, United States","8fundraising-lp-drop-04"
"Lido Advisors","Family Office","Los Angeles, California, United States","8fundraising-lp-drop-04"
"Blue Sand Holdings","Family Office","Las Vegas, Nevada, United States","8fundraising-lp-drop-04"
"Armory Capital LLC","Family Office","United States","8fundraising-lp-drop-04"
"IEQ Capital","Family Office","San Francisco, United States","8fundraising-lp-drop-04"
"Lion Path Advisors LLC","Family Office","Manchester Center, Vermont, United States","8fundraising-lp-drop-04"
"Berwind Family Office","Family Office","Harvard, Massachusetts, United States","8fundraising-lp-drop-04"
"Mantucket Capital","Family Office","Denver, Colorado, United States","8fundraising-lp-drop-04"
"Soros Fund Management","Family Office","New York, New York, United States","8fundraising-lp-drop-04"
"Flow","Family Office","New York, New York, United States","8fundraising-lp-drop-04"
"Bridge Ventures","Family Office","Chicago, United States","8fundraising-lp-drop-04"
"LogicSource, Inc.","Family Office","Irvine, California, United States","8fundraising-lp-drop-04"
