name,type,location,website,source
"STS Ventures","Family Office","Cologne, Germany","sts-ventures.de","folk-european-family-offices-founders"
"Müller-Möhl Group","Family Office","Zurich, Switzerland","mm-grp.com","folk-european-family-offices-founders"
"Extorel","Family Office","Munich, Germany","extorel.de","folk-european-family-offices-founders"
"Frog Capital","Family Office","London, United Kingdom","frogcapital.com","folk-european-family-offices-founders"
"Plurigestion","Family Office","Geneva, Switzerland","pleion.ch","folk-european-family-offices-founders"
"Schneider Family Office","Family Office","Alfter, Germany","linkedin.com/in/ACwAAAAFQGgBY520QalzkZ3kbF_dtYelPTTiGyI/","folk-european-family-offices-founders"
"Alpheus Capital Limited","Family Office","London, United Kingdom","alpheuscapital.com","folk-european-family-offices-founders"
"K5 Family Office","Family Office","Munich, Germany","k5.ag","folk-european-family-offices-founders"
"Backstage","Family Office","Stockholm, Sweden","backstage.se","folk-european-family-offices-founders"
"Horizon21","Family Office","Pfaeffikon, Switzerland","horizon21.com","folk-european-family-offices-founders"
"HPC Germany","Family Office","Potsdam, Germany","hpc-office.com","folk-european-family-offices-founders"
"Batofin Oy Ab","Family Office","Helsinki, Finland","batofin.fi","folk-european-family-offices-founders"
"AtlasInvest","Family Office","Brussels, Belgium","atlasinvest.be","folk-european-family-offices-founders"
"Acropolis Capital","Family Office","London, United Kingdom","acropolis-capital.com","folk-european-family-offices-founders"
"Marcuard Family Office","Family Office","Zurich, Switzerland","marcuardfamilyoffice.com","folk-european-family-offices-founders"
"White Cloud Capital","Family Office","London, United Kingdom","whcloud.com","folk-european-family-offices-founders"
"Kima Ventures","Family Office","Paris, France","kimaventures.com","folk-european-family-offices-founders"
"Cofra Holding","Family Office","Zug, Switzerland","cofraholding.com","folk-european-family-offices-founders"
"Groupe Arnault","Family Office","Paris, France","","folk-european-family-offices-founders"
"Finance Private Group","Family Office","Lisbon, Portugal","financeprivategroup.com","folk-european-family-offices-founders"
"LJ Partnership","Family Office","London, United Kingdom","ljpartnership.com","folk-european-family-offices-founders"
"Arabella Vermögensverwaltung","Family Office","Chur, Switzerland","arabella-finanz.ch","folk-european-family-offices-founders"
"Coral Reef IO","Family Office","London, United Kingdom","coralreef.io","folk-european-family-offices-founders"
"WEGA Invest","Family Office","Munich, Germany","","folk-european-family-offices-founders"
"MJ&Cie","Family Office","Paris, France","mj-et-cie.com","folk-european-family-offices-founders"
"EX.TRA Management","Family Office","Dortmund, Germany","extraindustries.com","folk-european-family-offices-founders"
"Spectrum Value Management","Family Office","Rapperswil-Jona, Switzerland","s-vm.com","folk-european-family-offices-founders"
"Calibrium","Family Office","Zurich, Switzerland","clbrm.com","folk-european-family-offices-founders"
"Reig Capital","Family Office","Andorra, Andorra","reigcapital.com","folk-european-family-offices-founders"
"Matter Group","Family Office","Zurich, Switzerland","mattergroup.ch","folk-european-family-offices-founders"
"Mende Family Office","Family Office","Karlsruhe, Germany","mende.de","folk-european-family-offices-founders"
"AQAL Capital","Family Office","Munich, Germany","aqalcapital.com","folk-european-family-offices-founders"
"Commenda Family Office","Family Office","Amsterdam, Netherlands","commenda.eu","folk-european-family-offices-founders"
"FS Finance Suisse","Family Office","Zurich, Switzerland","financesuisse.com","folk-european-family-offices-founders"
"Willsfort","Family Office","-, Georgia","willsfort.com","folk-european-family-offices-founders"
